Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight,Max_Weight,Min_BP,Max_BP,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",9,83,42,105,90,146,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B+,8
Osteoporosis,Amoxicillin,"Nausea, Headache, Dizziness",14,63,37,97,89,129,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,9
GERD,Omeprazole,"Nausea, Headache, Dizziness",2,56,30,99,85,141,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB-,9
Hypothyroidism,Levothyroxine,"Nausea, Headache, Dizziness",14,55,39,60,96,132,Moderate,No,Food Allergy,None,AB-,9
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",2,57,39,86,94,161,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,8
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",12,79,41,99,84,122,Low,Yes,None,None,AB+,7
Prostate cancer,Paracetamol,"Nausea, Headache, Dizziness",9,53,28,99,84,148,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,6
COPD,Amoxicillin,"Nausea, Headache, Dizziness",14,51,37,84,95,151,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,9
Coronary artery disease,Paracetamol,"Nausea, Headache, Dizziness",1,82,26,64,91,152,Avoid,No,"Penicillin,Dust,None",None,AB-,9
Obesity,Amoxicillin,"Nausea, Headache, Dizziness",6,53,36,75,96,131,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",O+,9
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",4,60,36,63,80,145,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",11,63,38,107,81,145,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A-,8
Syphilis,Amoxicillin,"Nausea, Headache, Dizziness",1,51,38,97,99,125,Moderate,No,None,None,A-,6
Measles,Paracetamol,"Nausea, Headache, Dizziness",3,59,39,60,91,140,Avoid,No,None,"None,Statins,Insulin,BP Meds",O+,8
Gout,Paracetamol,"Nausea, Headache, Dizziness",12,58,30,108,98,138,Avoid,No,Food Allergy,None,A+,8
Dengue,IV Fluids,"Nausea, Headache, Dizziness",2,50,29,77,97,159,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B+,6
HIV/AIDS,Efavirenz,"Nausea, Headache, Dizziness",6,79,37,95,100,164,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,9
Depression,Escitalopram,"Nausea, Headache, Dizziness",10,74,31,79,81,163,Moderate,Yes,"Penicillin,Dust,None",None,B+,6
Hyperthyroidism,Methimazole,"Nausea, Headache, Dizziness",15,77,30,65,97,169,Moderate,No,"Penicillin,Dust,None",None,O+,6
Stroke,Paracetamol,"Nausea, Headache, Dizziness",1,85,27,63,96,149,Avoid,Yes,"Penicillin,Dust,None",None,A-,9
Coronary artery disease,Amoxicillin,"Nausea, Headache, Dizziness",9,75,38,100,95,145,Low,No,Food Allergy,None,AB-,7
Dengue,IV Fluids,"Nausea, Headache, Dizziness",8,65,34,91,100,142,Avoid,No,None,None,B-,6
Dengue,ORS,"Nausea, Headache, Dizziness",10,68,35,106,94,147,Avoid,No,None,"None,Statins,Insulin,BP Meds",O-,10
Rheumatoid arthritis,Paracetamol,"Nausea, Headache, Dizziness",13,72,40,103,92,149,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,8
Osteoarthritis,Diclofenac,"Nausea, Headache, Dizziness",12,63,29,80,93,151,Low,No,None,"None,Statins,Insulin,BP Meds",A+,10
Lymphoma,Paracetamol,"Nausea, Headache, Dizziness",11,56,33,81,87,165,Low,Yes,None,None,B+,8
Hyperthyroidism,Propylthiouracil,"Nausea, Headache, Dizziness",14,52,26,81,87,162,Moderate,No,None,None,A+,6
Gout,Paracetamol,"Nausea, Headache, Dizziness",12,58,30,108,98,138,Avoid,No,Food Allergy,None,A+,8
Crohn’s disease,Ibuprofen,"Nausea, Headache, Dizziness",11,70,33,105,82,139,Moderate,No,Food Allergy,None,O-,8
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",4,61,26,105,80,149,Moderate,Yes,None,None,B+,8
Anemia,Folic acid,"Nausea, Headache, Dizziness",1,66,34,110,98,159,Moderate,No,None,None,B-,9
Chickenpox,Ibuprofen,"Nausea, Headache, Dizziness",4,59,43,97,80,135,Low,Yes,None,None,AB-,7
PCOS,Ibuprofen,"Nausea, Headache, Dizziness",14,83,40,86,83,120,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,9
Mumps,Paracetamol,"Nausea, Headache, Dizziness",2,69,29,106,90,154,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,9
Colon cancer,Ibuprofen,"Nausea, Headache, Dizziness",4,75,38,70,97,165,Avoid,No,None,None,A-,10
Anemia,Vitamin B12,"Nausea, Headache, Dizziness",7,59,38,89,96,129,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,7
Depression,Fluoxetine,"Nausea, Headache, Dizziness",15,74,44,87,81,144,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,7
Measles,Paracetamol,"Nausea, Headache, Dizziness",14,53,38,102,90,136,Low,Yes,None,"None,Statins,Insulin,BP Meds",AB-,6
Syphilis,Ibuprofen,"Nausea, Headache, Dizziness",15,59,34,102,98,158,Avoid,No,Food Allergy,None,B+,8
Chickenpox,Paracetamol,"Nausea, Headache, Dizziness",14,81,40,106,97,160,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,8
Colon cancer,Paracetamol,"Nausea, Headache, Dizziness",14,85,45,92,81,169,Moderate,Yes,"Penicillin,Dust,None",None,A+,8
Kidney stones,Paracetamol,"Nausea, Headache, Dizziness",14,59,32,97,87,162,Low,Yes,"Penicillin,Dust,None",None,O-,9
Chickenpox,Paracetamol,"Nausea, Headache, Dizziness",12,58,43,107,97,168,Avoid,Yes,None,None,B+,8
Vitamin B12 deficiency,Ibuprofen,"Nausea, Headache, Dizziness",3,64,32,96,84,138,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,10
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",12,68,41,79,98,135,Avoid,No,Food Allergy,None,B-,10
Colon cancer,Ibuprofen,"Nausea, Headache, Dizziness",2,55,45,67,97,125,Avoid,No,"Penicillin,Dust,None",None,B+,7
Measles,Amoxicillin,"Nausea, Headache, Dizziness",7,81,25,99,91,129,Low,No,Food Allergy,None,A+,6
Influenza,Zanamivir,"Nausea, Headache, Dizziness",12,67,27,103,92,152,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O-,9
Rheumatoid arthritis,Paracetamol,"Nausea, Headache, Dizziness",14,82,41,91,88,167,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,8
Chikungunya,Amoxicillin,"Nausea, Headache, Dizziness",14,71,27,74,84,169,Avoid,No,"Penicillin,Dust,None",None,AB+,7
Gonorrhea,Ibuprofen,"Nausea, Headache, Dizziness",4,52,26,92,87,122,Low,No,None,"None,Statins,Insulin,BP Meds",O-,9
Dengue,ORS,"Nausea, Headache, Dizziness",1,69,29,67,83,138,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,8
Hepatitis C,Paracetamol,"Nausea, Headache, Dizziness",5,56,27,99,83,151,Avoid,No,Food Allergy,None,B+,6
Heart attack,Atorvastatin,"Nausea, Headache, Dizziness",1,72,27,104,91,138,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,7
Ulcerative colitis,Paracetamol,"Nausea, Headache, Dizziness",14,69,45,110,93,120,Moderate,Yes,"Penicillin,Dust,None",None,A+,10
Diabetes mellitus type 2,Metformin,"Nausea, Headache, Dizziness",7,82,37,71,93,123,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,6
Obesity,Paracetamol,"Nausea, Headache, Dizziness",6,50,27,79,87,151,Low,Yes,"Penicillin,Dust,None",None,O-,10
IBS,Ibuprofen,"Nausea, Headache, Dizziness",12,66,31,92,83,136,Low,No,None,"None,Statins,Insulin,BP Meds",AB-,6
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",13,76,40,108,97,140,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,6
Cholera,Amoxicillin,"Nausea, Headache, Dizziness",7,52,33,67,96,125,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,10
HIV/AIDS,Lamivudine,"Nausea, Headache, Dizziness",10,83,44,104,84,162,Moderate,Yes,"Penicillin,Dust,None",None,A-,7
Anemia,Iron supplements,"Nausea, Headache, Dizziness",1,59,41,75,87,170,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,8
Heart attack,Clopidogrel,"Nausea, Headache, Dizziness",4,68,29,60,94,138,Low,No,"Penicillin,Dust,None",None,A-,7
UTI,Amoxicillin,"Nausea, Headache, Dizziness",4,56,25,105,98,162,Moderate,Yes,"Penicillin,Dust,None",None,A-,9
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",4,74,37,109,97,154,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B+,8
Pneumonia,Paracetamol,"Nausea, Headache, Dizziness",10,85,28,108,81,155,Low,Yes,Food Allergy,None,O-,10
GERD,Pantoprazole,"Nausea, Headache, Dizziness",2,69,31,61,80,146,Avoid,Yes,"Penicillin,Dust,None",None,O+,10
Hepatitis C,Paracetamol,"Nausea, Headache, Dizziness",3,81,26,83,80,131,Low,No,"Penicillin,Dust,None",None,O-,8
Rheumatoid arthritis,Paracetamol,"Nausea, Headache, Dizziness",10,85,30,64,87,131,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,7
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",2,81,45,86,96,124,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,6
Stroke,Ibuprofen,"Nausea, Headache, Dizziness",2,50,37,82,96,157,Moderate,Yes,"Penicillin,Dust,None",None,B-,9
Chickenpox,Paracetamol,"Nausea, Headache, Dizziness",14,56,40,100,100,135,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB-,10
Gout,Amoxicillin,"Nausea, Headache, Dizziness",6,75,31,62,91,153,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",B+,6
Gout,Amoxicillin,"Nausea, Headache, Dizziness",10,85,26,95,86,166,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B+,9
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",14,70,27,81,95,123,Moderate,Yes,"Penicillin,Dust,None",None,AB+,9
HIV/AIDS,Tenofovir,"Nausea, Headache, Dizziness",12,54,27,108,100,131,Low,Yes,"Penicillin,Dust,None",None,AB-,10
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",2,80,39,82,100,162,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
Crohn’s disease,Amoxicillin,"Nausea, Headache, Dizziness",10,74,34,91,99,151,Avoid,No,None,"None,Statins,Insulin,BP Meds",B-,10
Psoriasis,Paracetamol,"Nausea, Headache, Dizziness",8,57,28,107,87,160,Moderate,No,Food Allergy,None,B+,7
GERD,Pantoprazole,"Nausea, Headache, Dizziness",8,81,33,68,92,164,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,7
Malaria,Artemether,"Nausea, Headache, Dizziness",7,50,44,98,82,128,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB-,10
Psoriasis,Paracetamol,"Nausea, Headache, Dizziness",6,76,34,88,84,120,Moderate,Yes,None,None,A+,9
Malaria,Lumefantrine,"Nausea, Headache, Dizziness",9,73,29,60,86,156,Avoid,Yes,"Penicillin,Dust,None",None,A-,10
Cholera,Ibuprofen,"Nausea, Headache, Dizziness",8,76,36,98,98,144,Low,No,None,"None,Statins,Insulin,BP Meds",B+,8
Rheumatoid arthritis,Ibuprofen,"Nausea, Headache, Dizziness",8,53,26,92,86,135,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,6
Hepatitis C,Ibuprofen,"Nausea, Headache, Dizziness",15,69,39,62,91,165,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,8
Malaria,Chloroquine,"Nausea, Headache, Dizziness",10,67,36,108,94,161,Moderate,Yes,None,None,A-,10
Pneumonia,Ibuprofen,"Nausea, Headache, Dizziness",10,61,43,83,87,153,Avoid,No,Food Allergy,None,B+,9
Vitamin D deficiency,Paracetamol,"Nausea, Headache, Dizziness",8,58,26,83,89,166,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,9
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",15,82,38,75,93,120,Moderate,No,Food Allergy,None,AB-,10
Diabetes mellitus type 2,Insulin,"Nausea, Headache, Dizziness",15,84,37,108,100,125,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,6
Eczema,Ibuprofen,"Nausea, Headache, Dizziness",11,61,36,84,86,120,Moderate,No,None,None,O+,10
Eczema,Paracetamol,"Nausea, Headache, Dizziness",13,68,33,86,100,170,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,8
Hepatitis C,Paracetamol,"Nausea, Headache, Dizziness",11,85,25,73,88,121,Avoid,Yes,Food Allergy,None,O-,7
Anxiety disorder,Diazepam,"Nausea, Headache, Dizziness",5,68,25,71,82,166,Avoid,Yes,"Penicillin,Dust,None",None,AB-,9
Malnutrition,Ibuprofen,"Nausea, Headache, Dizziness",2,61,27,100,82,163,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,9
Acne,Amoxicillin,"Nausea, Headache, Dizziness",14,62,29,73,90,125,Moderate,No,"Penicillin,Dust,None",None,B-,7
Anxiety disorder,Diazepam,"Nausea, Headache, Dizziness",15,69,41,77,82,143,Moderate,No,None,None,B-,10
Prostate cancer,Paracetamol,"Nausea, Headache, Dizziness",13,76,34,97,95,131,Low,No,"Penicillin,Dust,None",None,AB+,9
COPD,Ibuprofen,"Nausea, Headache, Dizziness",1,75,32,76,98,125,Moderate,No,"Penicillin,Dust,None",None,O+,7
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",12,60,39,92,83,146,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,10
Depression,Fluoxetine,"Nausea, Headache, Dizziness",12,55,35,73,85,149,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",5,79,39,73,80,155,Avoid,Yes,Food Allergy,None,AB-,6
Coronary artery disease,Amoxicillin,"Nausea, Headache, Dizziness",11,54,39,68,86,126,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,9
Osteoporosis,Ibuprofen,"Nausea, Headache, Dizziness",7,68,33,101,89,144,Low,No,None,"None,Statins,Insulin,BP Meds",AB+,8
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",8,54,42,71,87,132,Moderate,No,"Penicillin,Dust,None",None,AB+,10
Rheumatoid arthritis,Ibuprofen,"Nausea, Headache, Dizziness",15,83,26,107,90,155,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B-,6
Malnutrition,Amoxicillin,"Nausea, Headache, Dizziness",6,51,32,74,82,157,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,9
Depression,Sertraline,"Nausea, Headache, Dizziness",5,56,35,77,80,164,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B+,8
Malaria,Lumefantrine,"Nausea, Headache, Dizziness",3,79,40,80,98,136,Avoid,Yes,Food Allergy,None,A+,10
Coronary artery disease,Ibuprofen,"Nausea, Headache, Dizziness",10,51,28,71,97,169,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,9
Heart attack,Atorvastatin,"Nausea, Headache, Dizziness",5,81,33,87,85,125,Moderate,Yes,None,None,A+,9
Migraine,Paracetamol,"Nausea, Headache, Dizziness",5,85,25,83,96,121,Avoid,No,Food Allergy,None,AB+,6
Chickenpox,Paracetamol,"Nausea, Headache, Dizziness",11,84,26,90,100,164,Low,Yes,Food Allergy,None,B-,8
Coronary artery disease,Amoxicillin,"Nausea, Headache, Dizziness",1,54,31,110,88,168,Avoid,Yes,"Penicillin,Dust,None",None,AB-,9
Asthma,Montelukast,"Nausea, Headache, Dizziness",2,52,30,77,80,126,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A-,8
Diabetes mellitus type 2,Glimepiride,"Nausea, Headache, Dizziness",10,74,44,80,98,170,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,7
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",11,84,37,94,84,126,Avoid,No,None,None,B+,10
Depression,Escitalopram,"Nausea, Headache, Dizziness",9,71,34,90,83,152,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O+,10
Hepatitis C,Paracetamol,"Nausea, Headache, Dizziness",5,73,38,78,93,129,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,7
Heart attack,Clopidogrel,"Nausea, Headache, Dizziness",8,81,32,66,96,134,Avoid,No,None,"None,Statins,Insulin,BP Meds",A+,10
Acne,Amoxicillin,"Nausea, Headache, Dizziness",13,62,39,67,82,159,Low,No,Food Allergy,None,A-,9
Crohn’s disease,Amoxicillin,"Nausea, Headache, Dizziness",5,77,36,108,89,128,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A-,8
Diabetes mellitus type 2,Insulin,"Nausea, Headache, Dizziness",3,64,41,82,95,141,Moderate,No,"Penicillin,Dust,None",None,AB+,10
Lung cancer,Paracetamol,"Nausea, Headache, Dizziness",12,71,38,83,93,145,Avoid,No,None,None,AB-,9
Psoriasis,Ibuprofen,"Nausea, Headache, Dizziness",7,57,37,70,90,142,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B+,7
COPD,Ibuprofen,"Nausea, Headache, Dizziness",1,75,32,76,98,125,Moderate,No,"Penicillin,Dust,None",None,O+,7
Typhoid,Ciprofloxacin,"Nausea, Headache, Dizziness",12,76,35,97,82,168,Moderate,No,None,"None,Statins,Insulin,BP Meds",B-,10
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",1,66,34,87,93,120,Moderate,Yes,Food Allergy,None,AB+,6
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",13,76,35,82,85,121,Low,No,Food Allergy,None,O+,10
Hypertension,Losartan,"Nausea, Headache, Dizziness",6,54,25,80,81,123,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,7
Stroke,Paracetamol,"Nausea, Headache, Dizziness",10,81,45,70,100,129,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,7
Syphilis,Ibuprofen,"Nausea, Headache, Dizziness",13,82,32,103,82,156,Low,No,None,None,AB-,8
Malnutrition,Amoxicillin,"Nausea, Headache, Dizziness",7,58,30,81,100,133,Low,No,None,None,A+,7
Eczema,Paracetamol,"Nausea, Headache, Dizziness",11,64,27,97,83,167,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,8
Osteoarthritis,Diclofenac,"Nausea, Headache, Dizziness",15,72,26,75,87,145,Low,Yes,"Penicillin,Dust,None",None,A-,9
Malaria,Artemether,"Nausea, Headache, Dizziness",5,80,29,93,80,149,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,10
Chickenpox,Ibuprofen,"Nausea, Headache, Dizziness",5,78,33,93,96,138,Moderate,Yes,None,None,O+,6
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",7,72,27,81,85,128,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
Stroke,Ibuprofen,"Nausea, Headache, Dizziness",14,60,40,71,91,139,Avoid,No,"Penicillin,Dust,None",None,B-,6
Stroke,Amoxicillin,"Nausea, Headache, Dizziness",2,68,31,72,97,160,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O-,9
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",15,55,41,67,91,149,Moderate,No,None,"None,Statins,Insulin,BP Meds",O+,7
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",11,79,26,85,86,155,Moderate,No,"Penicillin,Dust,None",None,A-,6
Stroke,Ibuprofen,"Nausea, Headache, Dizziness",15,83,45,61,82,135,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,6
Heart attack,Aspirin,"Nausea, Headache, Dizziness",9,55,32,70,90,168,Low,Yes,"Penicillin,Dust,None",None,A+,7
Osteoarthritis,Ibuprofen,"Nausea, Headache, Dizziness",9,58,43,109,97,120,Avoid,No,None,"None,Statins,Insulin,BP Meds",O-,10
Rheumatoid arthritis,Ibuprofen,"Nausea, Headache, Dizziness",5,72,33,108,98,136,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
Malaria,Chloroquine,"Nausea, Headache, Dizziness",12,83,27,71,99,138,Avoid,No,"Penicillin,Dust,None",None,A+,7
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",1,59,28,70,85,153,Moderate,No,"Penicillin,Dust,None",None,B+,10
Gonorrhea,Paracetamol,"Nausea, Headache, Dizziness",3,78,42,80,94,141,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B+,9
Stroke,Ibuprofen,"Nausea, Headache, Dizziness",7,85,27,75,87,154,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB+,8
UTI,Ciprofloxacin,"Nausea, Headache, Dizziness",5,51,26,110,87,146,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB-,9
IBS,Amoxicillin,"Nausea, Headache, Dizziness",2,73,33,80,84,122,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,8
Stroke,Amoxicillin,"Nausea, Headache, Dizziness",9,62,36,77,80,141,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,10
Parkinson’s disease,Amoxicillin,"Nausea, Headache, Dizziness",10,65,26,92,92,152,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,9
Pneumonia,Paracetamol,"Nausea, Headache, Dizziness",6,71,30,72,87,161,Low,No,Food Allergy,None,O+,9
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",12,61,32,63,89,140,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,10
COVID-19,Dexamethasone,"Nausea, Headache, Dizziness",2,73,40,104,93,133,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,8
Eczema,Amoxicillin,"Nausea, Headache, Dizziness",9,83,31,91,99,132,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,8
Crohn’s disease,Amoxicillin,"Nausea, Headache, Dizziness",7,62,39,99,95,127,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O+,10
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",1,50,33,100,98,150,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O+,8
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",3,71,39,84,97,124,Low,Yes,"Penicillin,Dust,None",None,B-,6
Endometriosis,Amoxicillin,"Nausea, Headache, Dizziness",6,69,38,93,98,164,Avoid,Yes,None,None,O+,10
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",1,50,30,62,100,156,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,9
Hyperthyroidism,Methimazole,"Nausea, Headache, Dizziness",5,55,32,64,92,162,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB+,6
Vitamin B12 deficiency,Paracetamol,"Nausea, Headache, Dizziness",11,68,45,93,96,138,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,10
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",5,73,26,94,99,151,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
Chickenpox,Ibuprofen,"Nausea, Headache, Dizziness",4,59,43,97,80,135,Low,Yes,None,None,AB-,7
Lung cancer,Ibuprofen,"Nausea, Headache, Dizziness",13,77,28,91,86,163,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB-,6
Asthma,Budesonide,"Nausea, Headache, Dizziness",1,60,36,64,85,158,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,6
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",7,63,28,87,95,161,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,9
Dengue fever,Ibuprofen,"Nausea, Headache, Dizziness",6,79,44,109,87,151,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,6
Rabies,Amoxicillin,"Nausea, Headache, Dizziness",9,62,28,99,91,153,Avoid,Yes,"Penicillin,Dust,None",None,B-,8
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",8,75,43,108,85,123,Low,Yes,"Penicillin,Dust,None",None,O-,9
Heart attack,Aspirin,"Nausea, Headache, Dizziness",3,75,33,108,86,157,Moderate,No,"Penicillin,Dust,None",None,O-,9
Gout,Ibuprofen,"Nausea, Headache, Dizziness",1,79,29,71,93,157,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,6
Hypertension,Enalapril,"Nausea, Headache, Dizziness",10,81,43,61,90,150,Moderate,Yes,Food Allergy,None,A-,9
Diabetes mellitus type 2,Metformin,"Nausea, Headache, Dizziness",2,69,38,82,83,143,Low,No,Food Allergy,None,B-,8
Pneumonia,Paracetamol,"Nausea, Headache, Dizziness",4,75,25,62,85,125,Moderate,No,Food Allergy,None,O+,7
PCOS,Ibuprofen,"Nausea, Headache, Dizziness",9,84,28,65,92,127,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A-,6
Pneumonia,Paracetamol,"Nausea, Headache, Dizziness",9,73,32,84,91,132,Moderate,No,Food Allergy,None,O+,9
Leukemia,Paracetamol,"Nausea, Headache, Dizziness",3,55,36,92,84,144,Low,Yes,"Penicillin,Dust,None",None,O+,8
Coronary artery disease,Paracetamol,"Nausea, Headache, Dizziness",14,72,28,87,84,121,Avoid,Yes,Food Allergy,None,O-,6
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",2,62,45,103,80,150,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,8
