Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight_kg,Max_Weight_kg,Min_BP_mmHg,Max_BP_mmHg,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
PCOS,Clomiphene,Dry Mouth,14,83,33,88,95,164,Occasional,Not Applicable,None,Multivitamin,AB+,9
Obesity,Phentermine,Diarrhea,1,84,49,109,98,172,Occasional,Not Applicable,None,Vitamin D,AB-,9
Obesity,Orlistat,Sleepiness,4,87,48,104,92,164,Occasional,Yes,Pollen,Vitamin D,AB+,4
Tuberculosis,Ethambutol,Dry Mouth,18,67,46,81,87,143,No,No,Dust,Iron Supplement,B-,9
Kidney Disease,Erythropoietin,Nausea,15,87,33,62,85,147,No,Not Applicable,Sulfa,Vitamin D,A+,5
Arthritis,Methotrexate,Rash,14,67,46,104,99,161,Occasional,No,Dust,Vitamin D,AB-,9
Obesity,Phentermine,Sleepiness,6,49,31,105,88,154,Yes,Not Applicable,Penicillin,Iron Supplement,AB+,6
Kidney Disease,Erythropoietin,Fatigue,13,41,33,85,84,164,Yes,No,Peanuts,None,O+,9
Migraine,Sumatriptan,Constipation,8,87,36,102,100,155,Occasional,Not Applicable,None,Calcium,B-,8
Depression,Escitalopram,Dizziness,10,75,47,61,88,167,Occasional,No,Pollen,None,A+,5
Liver Disease,Lactulose,Dry Mouth,15,69,41,95,89,167,No,Not Applicable,Dust,Multivitamin,O+,7
Asthma,Montelukast,Rash,16,74,39,94,87,167,Occasional,No,None,Vitamin D,O-,5
COVID-19,Remdesivir,Rash,2,45,32,76,99,161,No,No,Peanuts,Multivitamin,B+,6
Flu,Oseltamivir,Dry Mouth,9,46,50,96,89,153,Yes,Not Applicable,Pollen,Iron Supplement,A-,9
Liver Disease,Lactulose,Fatigue,11,48,36,120,100,159,Occasional,Not Applicable,None,None,O-,4
Anxiety,Alprazolam,Diarrhea,7,74,49,92,99,179,Occasional,No,Penicillin,None,AB-,7
Cancer,Paclitaxel,Fatigue,8,76,47,88,83,130,No,Yes,Penicillin,Calcium,O+,4
COVID-19,Paracetamol,Nausea,4,58,30,95,84,162,No,Yes,Sulfa,None,B-,8
COVID-19,Remdesivir,Dizziness,10,72,44,108,98,147,Occasional,Not Applicable,Penicillin,Multivitamin,B+,4
COVID-19,Remdesivir,Vomiting,17,41,44,117,99,166,Occasional,No,None,Multivitamin,AB-,4
Asthma,Montelukast,Vomiting,6,85,50,116,82,131,No,Yes,Sulfa,Calcium,B-,5
COVID-19,Remdesivir,Dry Mouth,15,69,42,115,92,127,Occasional,Not Applicable,Dust,Multivitamin,AB+,6
Heart Disease,Clopidogrel,Nausea,13,85,48,100,99,176,Occasional,Yes,Pollen,None,B-,6
Kidney Disease,Calcitriol,Fatigue,14,62,31,120,85,130,Yes,No,Penicillin,Vitamin D,O+,5
COVID-19,Remdesivir,Sleepiness,9,90,41,68,96,149,Occasional,Yes,Sulfa,Multivitamin,A+,7
Malaria,Primaquine,Rash,3,72,43,94,100,148,Occasional,Not Applicable,Penicillin,Multivitamin,B+,7
Asthma,Budesonide,Vomiting,9,59,44,98,84,146,Occasional,No,Penicillin,Multivitamin,O-,6
Asthma,Salbutamol,Vomiting,17,82,47,70,81,164,No,Not Applicable,None,Vitamin D,A+,10
Asthma,Salbutamol,Vomiting,12,51,43,78,91,148,Yes,Yes,Peanuts,Vitamin D,B-,6
Anxiety,Clonazepam,Fatigue,12,78,32,95,86,138,No,Not Applicable,Sulfa,Multivitamin,O-,5
Heart Disease,Clopidogrel,Fatigue,13,59,33,62,100,158,No,Yes,Dust,Iron Supplement,B+,10
Arthritis,Diclofenac,Headache,6,49,37,85,100,128,No,Not Applicable,Sulfa,Calcium,A+,7
PCOS,Letrozole,Fatigue,12,78,45,66,96,145,Occasional,Yes,Peanuts,Vitamin D,AB+,5
PCOS,Metformin,Dizziness,4,41,50,75,97,132,Yes,No,Sulfa,Iron Supplement,O+,5
Migraine,Topiramate,Nausea,5,55,32,85,82,131,Occasional,No,Dust,Multivitamin,B-,8
Kidney Disease,Erythropoietin,Dizziness,16,76,45,116,88,177,No,No,None,Vitamin D,O-,7
Flu,Oseltamivir,Rash,8,48,42,101,83,178,Occasional,Not Applicable,None,Vitamin D,O-,8
Liver Disease,Rifaximin,Fatigue,6,85,35,119,95,143,Occasional,No,Penicillin,Vitamin D,B-,6
Arthritis,Diclofenac,Nausea,16,71,37,113,93,170,Occasional,Not Applicable,Penicillin,Multivitamin,A+,10
Flu,Oseltamivir,Constipation,15,43,50,78,97,171,No,No,Pollen,None,A+,7
Hypertension,Losartan,Fatigue,4,42,38,120,89,136,Yes,Yes,Dust,Iron Supplement,AB-,8
Allergy,Fexofenadine,Diarrhea,10,65,48,109,85,139,Occasional,Yes,Penicillin,None,B-,7
Anxiety,Alprazolam,Dizziness,4,60,35,73,100,135,Yes,Not Applicable,Dust,None,A+,7
Typhoid,Cefixime,Nausea,5,88,31,104,91,120,No,Yes,Sulfa,Calcium,AB-,6
Hypertension,Atenolol,Diarrhea,18,48,50,67,85,170,No,No,None,None,AB+,8
Thyroid Disorder,Levothyroxine,Constipation,5,90,36,62,85,172,Yes,Yes,Penicillin,Vitamin D,O-,9
Hypertension,Atenolol,Headache,13,76,46,86,89,171,No,Not Applicable,Sulfa,Calcium,B+,6
Hypertension,Losartan,Diarrhea,10,61,45,95,81,120,Occasional,Yes,Sulfa,Iron Supplement,A-,5
Asthma,Budesonide,Fatigue,15,42,39,117,96,139,No,Not Applicable,None,Vitamin D,B-,8
Kidney Disease,Calcitriol,Headache,12,45,40,114,100,133,Occasional,Not Applicable,Sulfa,Calcium,O+,5
Thyroid Disorder,Propylthiouracil,Sleepiness,10,81,48,89,93,120,Yes,No,Peanuts,Multivitamin,O+,10
COVID-19,Remdesivir,Diarrhea,14,72,48,63,98,171,No,Not Applicable,Pollen,Multivitamin,B+,8
Flu,Ibuprofen,Vomiting,14,50,42,81,82,160,Yes,No,Pollen,Vitamin D,O-,9
Tuberculosis,Rifampicin,Nausea,4,81,46,114,89,135,No,Not Applicable,Dust,Calcium,B-,8
Arthritis,Methotrexate,Nausea,8,59,41,87,83,156,Yes,Not Applicable,Penicillin,Iron Supplement,O+,6
Migraine,Topiramate,Dry Mouth,11,71,44,70,99,125,Occasional,No,Pollen,Iron Supplement,O+,4
Migraine,Sumatriptan,Headache,5,79,49,88,92,144,Yes,No,Peanuts,None,O+,5
Flu,Ibuprofen,Constipation,15,66,42,63,98,142,No,Not Applicable,Penicillin,Calcium,O-,7
Depression,Sertraline,Nausea,5,69,46,112,83,135,No,Not Applicable,Sulfa,Calcium,A-,9
Thyroid Disorder,Levothyroxine,Dry Mouth,2,64,50,104,81,150,Yes,No,Pollen,Multivitamin,O-,7
PCOS,Letrozole,Headache,8,90,43,84,89,149,Occasional,Not Applicable,Penicillin,None,A+,9
Allergy,Loratadine,Headache,5,83,36,84,92,145,No,Yes,Penicillin,None,AB+,10
Thyroid Disorder,Propylthiouracil,Vomiting,6,64,43,82,82,148,Occasional,No,Sulfa,None,B-,8
Tuberculosis,Ethambutol,Diarrhea,16,54,46,118,96,180,No,Not Applicable,Peanuts,Vitamin D,B+,7
Allergy,Cetirizine,Vomiting,17,74,37,89,81,164,Occasional,Not Applicable,Penicillin,Calcium,AB-,5
Kidney Disease,Calcitriol,Nausea,15,50,37,78,96,151,Occasional,Yes,Penicillin,Multivitamin,A-,5
Heart Disease,Aspirin,Sleepiness,9,58,46,114,99,150,Occasional,Not Applicable,None,Iron Supplement,B+,5
Allergy,Loratadine,Diarrhea,6,88,30,107,97,152,No,Not Applicable,Peanuts,Iron Supplement,AB-,6
Obesity,Phentermine,Nausea,7,78,31,95,83,165,No,Not Applicable,Dust,Vitamin D,AB+,6
Malaria,Primaquine,Sleepiness,1,59,30,81,89,150,No,No,Penicillin,None,B-,9
Depression,Sertraline,Dizziness,18,60,44,67,83,141,No,Not Applicable,Peanuts,Multivitamin,AB+,8
Heart Disease,Aspirin,Constipation,3,66,40,78,88,163,No,No,Peanuts,Iron Supplement,B+,10
Tuberculosis,Rifampicin,Nausea,7,60,33,90,94,126,Yes,Yes,Peanuts,None,AB-,4
Obesity,Phentermine,Vomiting,15,44,46,87,95,166,Occasional,Not Applicable,Penicillin,Iron Supplement,AB+,4
Allergy,Fexofenadine,Vomiting,9,41,37,74,88,175,No,No,Sulfa,None,O+,7
Depression,Fluoxetine,Dizziness,16,78,32,82,97,125,No,Yes,None,Iron Supplement,A+,4
Cancer,Paclitaxel,Rash,12,64,34,74,86,137,Yes,Not Applicable,Dust,None,AB-,8
Asthma,Montelukast,Vomiting,9,50,47,101,98,158,Occasional,Not Applicable,None,None,B-,5
Liver Disease,Lactulose,Fatigue,12,43,30,63,89,164,No,No,Penicillin,Multivitamin,A+,7
Asthma,Salbutamol,Sleepiness,8,41,34,91,83,163,No,Yes,Dust,Iron Supplement,A+,5
Allergy,Fexofenadine,Diarrhea,10,75,45,64,88,162,Yes,No,Sulfa,Iron Supplement,A+,8
Migraine,Sumatriptan,Diarrhea,9,81,31,79,100,153,Occasional,No,None,Vitamin D,A-,7
Kidney Disease,Furosemide,Vomiting,4,81,34,90,84,178,No,No,Pollen,None,B+,9
Diabetes,Metformin,Dizziness,9,68,42,84,96,135,No,Yes,Dust,Multivitamin,AB-,6
Kidney Disease,Calcitriol,Sleepiness,10,43,43,105,99,168,No,Yes,Sulfa,Calcium,A-,6
Liver Disease,Rifaximin,Headache,14,43,34,86,82,138,Yes,Yes,Pollen,Calcium,B+,8
Malaria,Primaquine,Fatigue,7,81,31,61,82,140,Occasional,Not Applicable,None,Iron Supplement,A+,10
Tuberculosis,Isoniazid,Headache,18,72,45,111,84,158,No,No,Pollen,None,AB+,6
Anxiety,Buspirone,Fatigue,11,62,33,110,85,126,No,Not Applicable,Peanuts,Iron Supplement,O+,5
Typhoid,Ciprofloxacin,Diarrhea,2,56,35,116,84,135,Occasional,Not Applicable,Penicillin,Vitamin D,B-,8
Hypertension,Losartan,Vomiting,11,70,47,64,89,135,No,Not Applicable,Dust,Calcium,O-,8
Hypertension,Amlodipine,Rash,14,63,49,91,95,150,Yes,Yes,Peanuts,Multivitamin,O-,4
Allergy,Cetirizine,Constipation,12,63,44,62,81,179,No,No,Pollen,Calcium,O+,4
Allergy,Loratadine,Dizziness,16,58,37,115,89,162,Occasional,Yes,Penicillin,Calcium,A+,10
Obesity,Phentermine,Dizziness,7,40,37,94,94,141,Occasional,Not Applicable,Pollen,Iron Supplement,O+,5
Flu,Oseltamivir,Rash,4,88,33,71,91,149,No,Not Applicable,Pollen,Calcium,O+,8
Typhoid,Azithromycin,Constipation,14,56,47,98,100,135,Yes,Not Applicable,Pollen,Vitamin D,AB+,8
Diabetes,Glimepiride,Nausea,3,83,35,71,81,170,Occasional,Not Applicable,Penicillin,Calcium,AB-,5
Malaria,Chloroquine,Sleepiness,17,65,44,62,100,149,Occasional,Yes,Peanuts,Multivitamin,O+,4
Arthritis,Ibuprofen,Dizziness,6,47,42,64,94,161,Occasional,Yes,Dust,Calcium,B+,9
Malaria,Artemether,Fatigue,9,85,39,111,99,152,No,No,Peanuts,Vitamin D,O-,9
Kidney Disease,Calcitriol,Sleepiness,3,71,47,76,99,150,No,Yes,Penicillin,None,AB-,9
Arthritis,Diclofenac,Dizziness,4,44,32,109,80,137,Occasional,Not Applicable,Sulfa,None,O+,5
PCOS,Clomiphene,Headache,4,89,45,90,87,167,Occasional,Yes,Pollen,Vitamin D,A-,7
Cancer,Imatinib,Constipation,12,51,33,118,94,139,Occasional,Not Applicable,Dust,Iron Supplement,AB-,5
Thyroid Disorder,Levothyroxine,Constipation,12,82,41,92,92,140,No,Not Applicable,Dust,Iron Supplement,AB-,6
Malaria,Primaquine,Nausea,5,50,38,85,93,134,Occasional,Not Applicable,Penicillin,Iron Supplement,AB+,8
Typhoid,Azithromycin,Dry Mouth,12,63,35,70,86,155,Occasional,Not Applicable,None,Calcium,A-,5
Liver Disease,Lactulose,Dry Mouth,7,87,47,108,80,129,Yes,Not Applicable,Peanuts,Multivitamin,B+,8
COVID-19,Paracetamol,Dry Mouth,13,87,46,101,98,133,Yes,No,Sulfa,Multivitamin,AB+,10
Tuberculosis,Rifampicin,Constipation,3,59,44,85,100,139,Occasional,No,Sulfa,None,A+,10
Thyroid Disorder,Propylthiouracil,Dry Mouth,2,84,49,80,89,128,Yes,Not Applicable,Sulfa,None,A-,5
Cancer,Paclitaxel,Diarrhea,11,80,46,89,83,146,Occasional,Not Applicable,Sulfa,Vitamin D,B+,8
PCOS,Metformin,Diarrhea,18,53,30,97,91,128,Occasional,No,Peanuts,Iron Supplement,O+,8
Depression,Escitalopram,Sleepiness,15,78,33,114,83,174,Yes,Not Applicable,Penicillin,Vitamin D,B+,9
Flu,Paracetamol,Diarrhea,9,83,39,112,89,133,Occasional,Yes,Peanuts,None,B+,5
Flu,Ibuprofen,Rash,16,77,31,102,97,148,No,Yes,Pollen,Vitamin D,AB+,9
Tuberculosis,Ethambutol,Diarrhea,14,80,33,116,82,129,Occasional,Yes,Penicillin,Calcium,O-,5
Migraine,Topiramate,Dry Mouth,6,61,32,88,82,161,Occasional,Not Applicable,Penicillin,Calcium,A+,9
Hypertension,Amlodipine,Headache,2,88,45,102,88,127,No,Not Applicable,Dust,Calcium,A-,6
Diabetes,Glimepiride,Headache,14,73,39,67,85,152,Yes,No,Penicillin,None,AB-,6
PCOS,Metformin,Rash,8,41,39,95,85,150,No,No,Sulfa,Calcium,O-,6
Thyroid Disorder,Levothyroxine,Dry Mouth,7,49,43,86,89,142,No,No,Sulfa,Iron Supplement,A+,9
Flu,Ibuprofen,Nausea,8,76,49,68,87,151,Occasional,Yes,Dust,None,A+,7
Arthritis,Diclofenac,Headache,7,89,39,60,89,144,Yes,Not Applicable,None,Vitamin D,O+,10
Flu,Ibuprofen,Diarrhea,18,55,50,115,82,130,Yes,No,Sulfa,Iron Supplement,A-,5
Cancer,Paclitaxel,Vomiting,6,40,46,101,87,135,No,Not Applicable,Peanuts,Iron Supplement,A-,4
Diabetes,Glimepiride,Dry Mouth,1,74,50,109,83,150,Occasional,Not Applicable,Penicillin,Multivitamin,O-,10
Heart Disease,Clopidogrel,Vomiting,7,68,31,118,80,134,Yes,No,Sulfa,Calcium,AB-,7
Asthma,Salbutamol,Constipation,7,64,31,105,100,162,No,Not Applicable,Pollen,Vitamin D,AB-,7
Liver Disease,Ursodeoxycholic Acid,Sleepiness,8,88,45,116,91,180,Occasional,No,None,None,O-,8
Anxiety,Buspirone,Dry Mouth,7,77,41,95,92,126,No,Not Applicable,Peanuts,Iron Supplement,AB+,8
Hypertension,Atenolol,Dizziness,14,79,48,68,84,154,Yes,No,Pollen,None,A-,6
Kidney Disease,Furosemide,Headache,7,73,45,94,84,150,Yes,Yes,Sulfa,Vitamin D,A+,6
COVID-19,Favipiravir,Dizziness,17,64,46,87,80,128,Yes,No,Pollen,None,O+,7
Anxiety,Buspirone,Headache,8,86,37,88,99,162,Occasional,Yes,None,Multivitamin,A-,7
Heart Disease,Atorvastatin,Fatigue,6,81,42,110,80,178,Occasional,Not Applicable,Penicillin,Iron Supplement,A+,8
Depression,Fluoxetine,Nausea,8,84,36,63,80,147,Yes,No,Pollen,None,B+,5
Typhoid,Cefixime,Fatigue,17,82,48,71,83,136,No,Not Applicable,Pollen,Multivitamin,A-,4
Hypertension,Atenolol,Constipation,17,82,49,63,88,143,No,Not Applicable,Dust,Calcium,O-,10
Depression,Escitalopram,Nausea,11,54,38,80,90,130,Occasional,Not Applicable,Peanuts,Iron Supplement,A+,4
Thyroid Disorder,Propylthiouracil,Diarrhea,12,61,39,118,85,173,No,Not Applicable,Pollen,Multivitamin,AB+,10
Liver Disease,Rifaximin,Constipation,10,75,34,117,80,137,No,Not Applicable,Penicillin,Vitamin D,A-,6
PCOS,Letrozole,Dizziness,12,59,31,85,86,137,No,No,Dust,None,A+,6
Allergy,Cetirizine,Fatigue,6,80,33,95,94,136,No,No,Penicillin,Multivitamin,A-,5
Asthma,Salbutamol,Sleepiness,14,73,30,71,94,127,No,Not Applicable,Dust,Multivitamin,AB-,7
Heart Disease,Aspirin,Dry Mouth,14,41,40,83,95,168,Occasional,Not Applicable,Penicillin,Calcium,A-,7
COVID-19,Remdesivir,Constipation,3,45,42,111,87,152,Occasional,Yes,Penicillin,Calcium,AB-,6
Malaria,Artemether,Sleepiness,6,41,35,80,84,170,Occasional,No,Penicillin,Iron Supplement,A-,9
Migraine,Topiramate,Vomiting,10,45,42,91,82,148,No,Not Applicable,Dust,None,A-,5
Kidney Disease,Calcitriol,Diarrhea,11,44,42,60,99,147,No,Not Applicable,Penicillin,Calcium,B+,4
Tuberculosis,Rifampicin,Dizziness,8,74,41,106,100,151,Yes,Yes,Dust,Vitamin D,B+,10
Kidney Disease,Furosemide,Dizziness,11,69,43,112,96,137,No,Yes,None,Iron Supplement,AB-,9
Thyroid Disorder,Carbimazole,Constipation,11,60,36,62,90,130,No,Not Applicable,Pollen,Calcium,O+,10
Diabetes,Glimepiride,Vomiting,18,75,41,65,89,130,Yes,No,Penicillin,Iron Supplement,O-,8
Arthritis,Methotrexate,Fatigue,4,50,47,119,100,159,Yes,Not Applicable,Pollen,Multivitamin,B+,7
Hypertension,Amlodipine,Sleepiness,11,73,42,67,90,136,Occasional,Not Applicable,Peanuts,Calcium,O-,6
Asthma,Montelukast,Fatigue,4,73,49,84,100,176,No,Yes,Pollen,Multivitamin,AB+,6
Migraine,Topiramate,Constipation,3,64,32,100,84,162,Occasional,Not Applicable,Penicillin,Vitamin D,B-,5
Liver Disease,Ursodeoxycholic Acid,Fatigue,13,48,31,61,98,175,Yes,Yes,None,None,O+,7
Allergy,Loratadine,Constipation,1,51,43,83,89,153,Occasional,No,Peanuts,Calcium,AB-,7
Typhoid,Azithromycin,Constipation,2,76,45,80,84,135,Occasional,Not Applicable,None,Multivitamin,A+,8
Obesity,Phentermine,Rash,15,52,33,85,81,147,No,No,Sulfa,Calcium,O+,7
Allergy,Loratadine,Fatigue,15,64,32,65,84,124,Occasional,Yes,Penicillin,Multivitamin,B+,10
Kidney Disease,Erythropoietin,Dry Mouth,13,58,47,75,98,172,Occasional,No,None,Calcium,O+,5
Diabetes,Metformin,Constipation,16,62,39,83,98,135,Occasional,No,Penicillin,Iron Supplement,A-,8
Arthritis,Ibuprofen,Fatigue,15,85,46,113,83,170,Yes,No,Sulfa,None,O+,5
COVID-19,Remdesivir,Dry Mouth,13,83,39,74,98,121,No,Yes,None,Vitamin D,O-,6
Liver Disease,Lactulose,Dry Mouth,7,58,40,73,93,139,No,No,Penicillin,None,B-,4
Tuberculosis,Ethambutol,Diarrhea,1,61,41,82,90,170,Occasional,Not Applicable,Sulfa,Calcium,A+,9
Liver Disease,Rifaximin,Dry Mouth,7,79,31,76,87,169,No,Yes,Penicillin,Vitamin D,O+,5
Obesity,Phentermine,Dizziness,16,58,49,66,82,158,No,No,Penicillin,None,B-,4
Tuberculosis,Rifampicin,Constipation,5,43,40,99,87,158,Occasional,Yes,Sulfa,Iron Supplement,O-,4
Malaria,Artemether,Vomiting,17,50,42,116,98,138,Yes,Yes,Penicillin,Iron Supplement,B+,5
COVID-19,Remdesivir,Dry Mouth,14,43,45,115,88,129,No,Yes,None,Calcium,O-,7
PCOS,Clomiphene,Fatigue,11,84,33,61,82,169,Occasional,Not Applicable,Sulfa,Calcium,B+,7
Asthma,Salbutamol,Rash,8,59,42,103,82,127,Occasional,No,Peanuts,Multivitamin,A+,10
Tuberculosis,Ethambutol,Dizziness,6,65,49,103,88,142,Occasional,No,Peanuts,Iron Supplement,AB+,4
Allergy,Cetirizine,Rash,13,90,38,66,89,140,No,Yes,Peanuts,None,B+,5
Tuberculosis,Rifampicin,Sleepiness,9,81,47,62,98,164,No,No,Penicillin,None,A+,4
Asthma,Montelukast,Sleepiness,18,85,49,60,96,155,Yes,Yes,Pollen,Iron Supplement,B-,6
Heart Disease,Atorvastatin,Headache,4,53,38,105,88,170,Yes,Yes,None,Calcium,AB-,8
Diabetes,Glimepiride,Dizziness,12,77,39,77,95,136,Occasional,Yes,Penicillin,Iron Supplement,B+,8
Anxiety,Alprazolam,Rash,1,66,44,70,99,152,Occasional,Yes,Penicillin,Iron Supplement,O-,9
COVID-19,Remdesivir,Constipation,9,82,42,104,99,178,No,Not Applicable,None,Multivitamin,B-,7
Depression,Fluoxetine,Fatigue,18,90,41,68,83,140,Yes,No,Peanuts,Multivitamin,O+,5
Malaria,Primaquine,Rash,16,82,32,69,90,163,No,Yes,Dust,Calcium,AB-,10
Diabetes,Insulin,Rash,3,41,47,86,98,129,Occasional,Not Applicable,Sulfa,Iron Supplement,B-,4
Kidney Disease,Erythropoietin,Vomiting,6,65,50,97,87,159,No,Not Applicable,Peanuts,Vitamin D,O-,10
Heart Disease,Clopidogrel,Dry Mouth,1,74,33,83,95,147,Yes,Not Applicable,Dust,None,A+,8
Depression,Fluoxetine,Diarrhea,13,59,33,120,96,173,Occasional,No,Pollen,Multivitamin,B+,9
Depression,Escitalopram,Dry Mouth,4,72,50,97,94,144,No,Not Applicable,None,Multivitamin,A+,6
Allergy,Fexofenadine,Sleepiness,10,41,49,98,84,167,Occasional,Yes,Sulfa,None,AB-,8
Liver Disease,Ursodeoxycholic Acid,Fatigue,6,52,38,106,91,128,Yes,Not Applicable,None,Vitamin D,B+,7
Flu,Paracetamol,Fatigue,15,69,31,93,94,159,Yes,Not Applicable,Dust,Iron Supplement,B-,9
Cancer,Imatinib,Headache,2,46,48,116,93,175,No,Yes,Penicillin,Vitamin D,A+,8
Kidney Disease,Erythropoietin,Sleepiness,14,61,32,109,95,155,Occasional,Not Applicable,None,Multivitamin,O-,6
Malaria,Chloroquine,Nausea,9,41,33,77,95,120,Yes,Not Applicable,Peanuts,Iron Supplement,O+,9
Allergy,Fexofenadine,Vomiting,11,41,45,102,99,146,No,Yes,Penicillin,Calcium,B+,7
Liver Disease,Ursodeoxycholic Acid,Dry Mouth,18,48,33,105,99,172,Occasional,Not Applicable,Penicillin,Vitamin D,AB-,8
Arthritis,Ibuprofen,Constipation,7,72,36,76,99,153,No,Not Applicable,Peanuts,Calcium,AB+,4
Malaria,Artemether,Constipation,16,56,31,94,89,161,Yes,Yes,Dust,Calcium,A+,8
COVID-19,Favipiravir,Sleepiness,11,61,32,76,84,171,Yes,No,Pollen,Vitamin D,A+,6
Hypertension,Atenolol,Rash,12,57,32,62,93,148,No,Not Applicable,Peanuts,Multivitamin,AB-,6
Depression,Fluoxetine,Dry Mouth,14,47,47,99,93,149,Occasional,Yes,Peanuts,None,O-,5
Asthma,Montelukast,Nausea,10,41,32,99,81,125,Occasional,No,None,Vitamin D,B+,6
Cancer,Imatinib,Headache,5,75,31,82,85,150,No,Yes,Sulfa,Multivitamin,AB+,4
Obesity,Phentermine,Vomiting,2,53,41,68,85,175,Occasional,Not Applicable,Dust,Calcium,O-,7
Tuberculosis,Rifampicin,Diarrhea,2,78,34,88,98,172,Occasional,Yes,Pollen,None,O+,9
Allergy,Cetirizine,Nausea,6,71,31,78,90,132,No,Not Applicable,Penicillin,Calcium,B-,8
Arthritis,Methotrexate,Diarrhea,9,57,48,80,96,165,Occasional,No,None,None,O+,10
Flu,Oseltamivir,Vomiting,4,43,50,83,93,141,Yes,Yes,Sulfa,Calcium,A+,6
Heart Disease,Aspirin,Dry Mouth,3,73,36,114,94,155,No,Not Applicable,Dust,None,O-,9
Obesity,Liraglutide,Vomiting,11,41,39,83,83,146,Occasional,Not Applicable,None,Vitamin D,O+,6
Liver Disease,Lactulose,Constipation,17,86,38,62,88,137,Occasional,Yes,None,Calcium,AB-,8
COVID-19,Paracetamol,Headache,7,42,50,70,82,175,No,Yes,Sulfa,Vitamin D,O+,5
Typhoid,Cefixime,Dry Mouth,3,82,41,82,95,120,No,Not Applicable,None,Iron Supplement,A+,9
Malaria,Artemether,Vomiting,18,82,37,90,91,130,Occasional,Yes,Peanuts,Vitamin D,AB+,6
Allergy,Cetirizine,Diarrhea,9,66,38,67,89,169,No,No,None,Calcium,O+,9
PCOS,Letrozole,Nausea,6,77,31,118,83,149,Yes,No,Pollen,Vitamin D,A+,6
Anxiety,Clonazepam,Fatigue,12,44,38,79,93,166,No,No,Sulfa,Calcium,B-,4
PCOS,Metformin,Headache,7,40,36,71,94,174,No,Yes,Sulfa,Iron Supplement,B+,10
COVID-19,Favipiravir,Nausea,13,50,40,70,96,147,Yes,No,None,Calcium,AB+,5
Diabetes,Insulin,Sleepiness,8,59,47,116,95,150,No,Not Applicable,Pollen,None,AB-,10
Cancer,Cisplatin,Constipation,3,77,43,69,82,178,Occasional,Yes,Sulfa,Multivitamin,AB+,6
Asthma,Salbutamol,Constipation,4,77,41,77,100,120,Occasional,No,Sulfa,Iron Supplement,A+,6
Kidney Disease,Erythropoietin,Sleepiness,14,72,34,111,95,136,Yes,Yes,Sulfa,Multivitamin,A+,10
Thyroid Disorder,Propylthiouracil,Headache,11,78,50,74,80,172,Yes,No,Sulfa,Multivitamin,B+,4
Cancer,Paclitaxel,Vomiting,2,61,42,114,86,158,No,Yes,Penicillin,Calcium,B-,10
Asthma,Montelukast,Constipation,16,81,48,74,82,150,Yes,Not Applicable,Penicillin,Iron Supplement,A+,10
Asthma,Salbutamol,Sleepiness,2,51,30,83,91,156,No,Not Applicable,None,Vitamin D,B+,9
Depression,Sertraline,Dizziness,5,82,41,103,83,164,Occasional,Not Applicable,Penicillin,Iron Supplement,O-,6
Arthritis,Diclofenac,Vomiting,3,73,50,114,89,134,No,Not Applicable,Sulfa,Calcium,O+,7
Migraine,Topiramate,Vomiting,3,61,50,108,82,138,Yes,Not Applicable,None,Iron Supplement,O-,8
Migraine,Sumatriptan,Dizziness,17,74,32,74,91,156,No,No,Penicillin,Calcium,AB+,4
COVID-19,Paracetamol,Diarrhea,7,84,35,80,85,152,Yes,No,Pollen,Multivitamin,A-,7
PCOS,Letrozole,Sleepiness,11,73,33,89,100,151,Yes,Not Applicable,Penicillin,Iron Supplement,A+,6
Malaria,Artemether,Headache,5,45,32,111,81,120,Yes,Yes,Sulfa,Multivitamin,O+,10
Depression,Escitalopram,Diarrhea,10,52,40,72,94,140,Yes,Yes,Dust,None,AB-,9
Asthma,Budesonide,Fatigue,11,72,32,91,100,173,Yes,Yes,Penicillin,Multivitamin,AB+,4
PCOS,Metformin,Rash,14,57,33,103,90,164,Occasional,No,Peanuts,None,A+,4
Tuberculosis,Ethambutol,Fatigue,14,77,33,101,95,162,Yes,No,Peanuts,Calcium,A-,10
Flu,Paracetamol,Headache,5,69,37,98,99,134,No,No,Peanuts,Iron Supplement,B+,7
Tuberculosis,Isoniazid,Nausea,12,78,37,99,100,161,No,Not Applicable,Dust,Vitamin D,A+,5
Flu,Oseltamivir,Vomiting,10,61,32,93,91,144,No,No,Peanuts,Iron Supplement,AB+,6
Hypertension,Losartan,Vomiting,18,85,50,110,88,161,No,Not Applicable,Pollen,Iron Supplement,B+,5
COVID-19,Remdesivir,Nausea,15,79,46,66,98,143,Occasional,Not Applicable,Peanuts,Iron Supplement,O+,4
Anxiety,Buspirone,Rash,9,47,39,94,92,176,No,No,Penicillin,Calcium,O+,9
Tuberculosis,Isoniazid,Fatigue,1,50,30,115,94,142,Occasional,Yes,None,None,AB+,5
Anxiety,Clonazepam,Nausea,15,49,31,113,81,173,Occasional,No,Penicillin,Calcium,AB+,4
Cancer,Imatinib,Diarrhea,2,51,44,102,91,176,Yes,No,Pollen,Multivitamin,O-,6
Migraine,Propranolol,Nausea,11,45,49,60,88,158,No,Yes,Dust,Calcium,A+,7
